acc,acc_new,cov,cov_new
0.0,0.04,0.06666666666666667,0.5390833333333337
0.0,0.05,0.07616666666666667,0.5485833333333336
0.0,0.06,0.08575,0.558166666666667
0.0,0.07,0.09200000000000001,0.564416666666667
0.0,0.08,0.10033333333333333,0.5727500000000003
0.0,0.085,0.10383333333333333,0.5762500000000004
0.0,0.085,0.10508333333333333,0.5775000000000003
0.0,0.085,0.11049999999999997,0.5829166666666671
0.0,0.085,0.11216666666666664,0.5845833333333338
0.0,0.085,0.11466666666666661,0.5870833333333337
0.005,0.1,0.12091666666666662,0.5933333333333338
0.005,0.11,0.12983333333333327,0.6022500000000004
0.005,0.11,0.13108333333333327,0.6035000000000005
0.01,0.125,0.14516666666666656,0.6175833333333338
0.01,0.135,0.15266666666666656,0.6250833333333339
0.01,0.155,0.16783333333333328,0.6402500000000004
